x4911959_how_would_you_rate_your_ability_to_communicate_statistics_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_communicate_in_statistics_to_5_an_indicative_of_highest_ability_to_communicate_in_statistics,x4911960_how_would_you_rate_your_ability_to_communicate_statistics_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_communicate_statistics_and_5_indicates_the_highest_ability_to_communicate_statistics,x4911961_please_explain_your_choice_from_the_previous_question,x4911962_how_would_you_rate_your_ability_to_use_r_statistical_software_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_use_to_5_an_indicative_of_highest_ability_to_use,x4911963_how_would_you_rate_your_ability_to_use_r_statistical_software_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_use_r_and_5_indicates_the_highest_ability_to_use_r,x4911964_please_explain_your_choice_from_the_previous_question,x4911996_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_completing_its_weekly_assignment_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911966_please_explain_your_choice_from_the_previous_question,x4911965_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_participating_in_its_weekly_tutorial_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911999_please_explain_your_choice_from_the_previous_question,x4912006_how_much_attention_did_you_pay_to_ta_feedback_on_your_worksheet_and_on_your_assignment,x4912033_to_what_extent_do_you_agree_with_the_following_statement_the_statistical_examples_illustrated_in_this_course_helped_me_recognize_the_usefulness_relevance_and_value_of_learning_about_and_doing_statistics,x4912034_please_explain_your_choice_from_the_previous_question,x4912046_to_what_extent_do_you_agree_with_the_following_statement_the_infographic_assignment_improved_my_ability_to_communicate_the_ability_to_read_interpret_and_discuss_statistical_informationclearly_and_effectively,x4912035_please_explain_your_choice_from_the_previous_question,x4912152_think_about_your_overall_experience_working_collaboratively_with_other_students_in_this_course_on_the_infographic_assignment_what_aspects_of_this_assignment_did_you_enjoy_working_on_what_challenges_did_you_encounter_and_how_did_you_resolve_them_what_advice_would_you_give_to_future_students_who_will_be_working_on_a_collaborative_assignment_in_a_statistics_course,x4912177_how_has_this_course_contributed_to_your_understanding_of_the_subject_of_statistics_and_how_would_you_describe_your_overall_learning_experience
1,4,"Before the course, I had no idea how to communicate statistics and terms I should I use. The course definitely taught me different concepts in statistics and the ways to communicate our findings. I found the weekly course assignment very helpful in practicing communicating my statistics findings.  ",1,3,"Before the course, I did not know the R statistical software existed. I definitely had no idea how to use the R software or how to read the graphs (histogram, probability table, etc) generate from the R software. After the course, I learned what some common code means. I also learned how to generate and read graphs generated from the software. The only reason I had it on a “3” is because I am not comfortable writing codes in R by myself.  ",4,I definitely found the weekly course assignment is very helpful in helping my understanding. I think the weekly assignments is a great way to connect the concept we learned in class with real-life situations. ,5,I definitely found the tutorial sessions very helpful in practicing problems about the concepts. ,NA,NA,NA,NA,NA,NA,NA
2,4,I believe I have a good understanding of statistics so far and can explain some of the basic and maybe harder concepts ,1,2,I don't think i would be able to code anything on my own in R but maybe I could read some code,4,I would say the assignments were helpful in helping me learn,5,The tutorials helped me apply what I learned from the lectures,I didn't read the comments.,Agree,I was tought some more niche uses of statistics i did not know of before,NA,NA,NA,NA
2,4,NA,1,3,NA,3,NA,3,NA,I read the comments.,Agree,NA,Neither agree nor disagree,NA,NA,NA
2,4,"I gave myself a 2 at the start of the course because, although I understood the fundamentals of statistics, I found it difficult to communicate them to others, particularly when it came to properly analyzing data or utilizing visualizations. I gave myself a 4 after finishing the course since I feel much more comfortable sharing statistics. I've improved my ability to analyze data more precisely, and communicate my findings in a way that is easy to understand.",1,4,"Before the course, I rated myself a 1 because I had no prior experience using R and little experience with coding or performing any analysis with the software. After completing the course, I feel much more confident and gave myself a 4. I’ve learned how to use R for creating visualizations, running statistical tests, and interpreting output. Although I’m not yet an expert, I can now use R effectively for most tasks and feel comfortable exploring more advanced features on my own.",4,"I chose 4 because I felt that completing each weekly assignment helped reinforce my understanding of the statistical concepts covered in the modules. The hands-on practice allowed me to apply what I learned in a meaningful way, especially when using real datasets in R. While I grasped most of the key ideas, there were a few concepts that took extra effort or clarification to fully understand, which is why I didn’t rate myself a full 5.",5,"I chose 5 because the weekly tutorials were very helpful in deepening my understanding of the statistical concepts from each module. The step-by-step explanations, opportunities to ask questions, and real-time application of ideas in R made the material much easier to grasp. The tutorials clarified any confusion I had from the lectures or readings, and they gave me the confidence to apply the concepts on my own.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Agree,"I chose to agree because the examples used in the course were practical and related to real-world scenarios, which helped me see how statistics can be applied outside of the classroom. Whether it was analyzing data trends, interpreting results, or making data-driven decisions. The examples made the concepts feel more meaningful and showed me the value of understanding statistics.",Agree,"I agree with the statement because the infographic assignment allowed me to turn statistical data into an easily understandable visual format as an infographic. It required me to not only interpret the data accurately but also to present it in a way that could be easily understood. The process of taking information and organizing it visually helped improve my ability to communicate statistical data clearly and effectively. Additionally, working on the design aspect of the infographic helped me understand how layout and visuals can enhance the message, making the data more accessible and engaging.","I enjoyed working with a group of diverse and bright individuals, as it offered new perspectives and enhanced my understanding of the topic, and allowed me to see things I couldn't before, or using a new perspective. The challenges we faced were dealing with people not following through with their commitments and some disagreements because of the wide variety of perspectives. We resolved these challenges through open communication, ensuring everyone’s voice was heard and working towards a solution that satisfied all parties. My advice to future students would be to approach the collaborative assignment as an opportunity for learning and fun. While it’s important to take it seriously for marks, the key is to communicate openly, contribute equally, and maintain a positive mindset to make the most out of the experience.","This course has significantly enhanced my understanding of statistics, thanks to the engaging teaching methods used by the TAs and the professor. They made learning statistics fun and interactive by incorporating new approaches to teaching and presenting data. One particular module that comes to mind would be the last module on the plum blossoms, where the website made by the TAs had a plum blossom falling animation. Things like this not only made the material more relatable but also added an element of enjoyment to learning, making the entire experience both educational and memorable."
3,4,"I took data management in grade 12 so I already knew a lot of the course contents like combinations, hypothesis testing, factorials, permutations, different kinds of plots (boxplots etc.), the normal distribution. But I did learn some new things from this course and also some new formulas and thecourse content had more depth than the course I took in grade 12.",1,4,"I had never used the Rstudio software before taking this course so I put a 1, however now that I have learnt about using it through this course I have a decent understanding of the software and how to use it, and what it's purpose is. ",4,"I put a 4 because the weekly modules really forced me to try to understand and look at what that weeks content was about, also the demonstration videos were very helpful and I always watched them to make sure I didn't miss anything. ",4,"I put 4 because I think the tutorials were helpful and my TA was pretty helpful also, sometimes I did get stuck but my TA would usually give us hints to get the answers or the fomulas we needed to use.",I read the comments.,Agree,I agree that the statistical exmaples in the course helped me to recognize the usefulness of statistics because I think the weekly module's used a lot of realworld examples of data and how we can use statistics to interpet the data and use it for research or to make conclusions about things. ,Neither agree nor disagree,"i dont agree or disagree because I rushed the assignment and I did it alone because my group didn't respond to me, I do think it helped me to improve my reading and interpreting of data, however I did not get to discuss it with others.",I didn't speak with any of my group memebrs because they didn't respond.,"I think it was helpful for expanding my knowledge on hypothesis testing, combinations, factorials, the normal distribution, permuations. I think the overall learning experience was pretty good."
3,5,"Going into statistics, I had some prior knowledge from highschool of up to binomial theorem. Through the course, I learned a lot more about statistics concepts along with how to communicate it using R code and more.",1,4,I learned how to use R software throughout the course in lectures and homework assignments along with revision.,4,"In the homework assignments, I learned to apply concepts from lectures and tutorials, increasing my ability of statistics and my understanding of concepts.",4,"In each tutorial, we practiced the weekly lecture content in the form of short questions. If I didn't understand anything, the TA would explain how to do a question.",I took a quick look at the comments at the end.,Agree,"In lectures and the slides, I looked through all the examples to help me apply the concepts on my own. This process helped a lot in deepening my understanding of new concepts and concepts I already knew alike.",Agree,The infographic assignment required us to compile our knowledge of statistics and present the information clearly.,"I enjoyed working on tutorial questions with peers sitting around me, starting discussions on how to best do a question. In addition, being able to work on the infographic with my friends was also enjoyable, as it is the only few courses where I have done so.","This course has helped my understanding of the subject of statistics a lot, strengthening my understanding of the basic concepts and allowing me to learn the develop my understanding of the concepts I did not know. Additionally, R code allowed me to test statistics through realistic simulations."
5,5,"I rated my ability to communicate statistics as a 5 because the course significantly enhanced both my understanding of statistical concepts and my ability to convey them clearly to others. Through assignments, presentations, and group discussions, I gained confidence in explaining data trends, interpreting results, and using appropriate terminology. I also learned how to adjust my explanations depending on the audience—whether they were familiar with statistics or not—which has been especially helpful during group projects and presentations.",5,4,"I rated my ability to use R as a 4 because the course greatly improved my skills in data manipulation, visualization, and statistical analysis using R. I became comfortable using packages like ggplot2, dplyr, and tidyverse, and I can now write scripts to clean data, perform analyses, and create meaningful visualizations. While I feel confident using R for most tasks, I recognize there's still more to learn—especially when it comes to advanced functions, debugging, or creating custom packages.",4,"I rated my understanding as a 4 because the weekly assignments were very effective in helping me apply and reinforce the statistical concepts taught in each module. By engaging with the material through hands-on exercises, I was able to grasp core ideas like probability, distributions, regression, and hypothesis testing. However, there were a few instances where I needed to spend extra time reviewing lecture content or seeking clarification, especially on more complex topics. Despite those challenges, I consistently felt that I was learning and improving each week",4,"I rated my understanding as a 4 because the weekly tutorials were very helpful in reinforcing the material covered in each module. They provided a more interactive and practical approach to learning, allowing me to clarify doubts, work through examples, and better understand how to apply statistical concepts using R. The tutorials often helped bridge the gap between theory and application. However, there were a few occasions where the pace was a bit fast or I needed extra time outside of the tutorial to fully grasp certain topics, which is why I didn’t rate it a 5.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,"I rated my agreement as ""Strongly agree"" because the statistical examples provided throughout the course were highly relevant to real-world applications. The examples helped me see how statistical methods are used in various fields like research, business, and healthcare, making the concepts much more meaningful and motivating. By working through these examples, I was able to appreciate the practical value of learning statistics and how it can help solve problems and inform decision-making.",Strongly agree,"I rated my agreement as ""Strongly agree"" because the infographic assignment was an excellent opportunity to distill complex statistical information into a clear and visually appealing format. It pushed me to think critically about how to convey data insights to a broader audience, using visuals and concise text. This process helped me improve not only my ability to interpret statistical results but also my confidence in presenting them in a way that’s easy to understand","What aspects of this assignment did you enjoy working on?

I really enjoyed the collaborative aspect of the infographic assignment because it allowed us to combine different perspectives and strengths. Working with others made the brainstorming process more dynamic and creative. I especially enjoyed dividing the tasks based on our individual strengths, such as data analysis, design, and content writing. It helped me realize how diverse skills can come together to create something clear and engaging.

What challenges did you encounter, and how did you resolve them?

One challenge we faced was coordinating schedules to meet up and work together on the assignment, especially with different availability among group members. To resolve this, we created a shared online document and set deadlines for each part of the project. We also had regular check-ins through group chats to ensure everyone was on the same page. Another challenge was ensuring that the statistical information was both accurate and presented clearly, which required careful review and open communication among team members.

What advice would you give to future students who will be working on a collaborative assignment in a statistics course?

I would advise future students to start early and establish clear communication from the beginning. It’s essential to divide the workload early on based on each person’s strengths and to keep track of progress to avoid last-minute stress. Don’t hesitate to ask for feedback from others, especially on clarity and accuracy of the statistical content, as collaborative work can provide multiple insights. Finally, be patient and flexible—collaborating can be challenging, but with good organization and teamwork, it can lead to great results.","This course has significantly enhanced my understanding of statistics. Before taking it, I had a basic grasp of statistical concepts, but the structured learning and hands-on assignments have deepened my understanding. I now feel more confident in using statistical methods like hypothesis testing, regression analysis, and interpreting data through various visualizations. The course also helped me see how statistics is not just about numbers, but about understanding and making decisions based on data, which I found particularly valuable.

My overall learning experience has been very positive. The course offered a great balance between theoretical knowledge and practical application, and the assignments helped solidify my learning. The use of tools like R and the focus on real-world examples made the material feel relevant and engaging. The collaborative assignments also helped me develop communication and teamwork skills, which are just as important in statistics as technical ability."
5,5,n,5,5,n,5,n,5,n,I didn't read the comments.,Neither agree nor disagree,n,Neither agree nor disagree,n,n,n
4,5,f,5,5,gg,5,gggg,5,g,I didn't read the comments.,Strongly disagree,n,Neither agree nor disagree,nn,n,n
4,4,NA,4,5,NA,4,NA,5,NA,I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Agree,NA,Agree,NA,NA,NA
2,4,"My experience with high school data management wasn't the best, since I didn't know how to study, and the way topics were introduced felt a bit convoluted. This class built to each topic in a logical manner, so I was able to understand each topic more effectively.",1,3,"I've never heard of R before this course. After it however, I realize that R is a pretty convenient software and it works a bit like python, which I have experience with.",3,"Each weekly assignment helps with getting hands on experience with the topic of the module. It personally helped that the topics of each assignment felt like it had a real-world application, so I was more invested with the module.",3,"The tutorial worksheets felt a bit like tests (printed out, time to do it alone) so it gave me a bit of pressure to do well (also it was marked), which helped solidify the concepts further.","I looked at the mark, then if it's lower than expected I look through the comments.",Agree,I like things that are practical to the real world because it tells me why I should care.,Agree,NA,"*

What aspects of this assignment did you enjoy working on?

* visual aspect

*

What challenges did you encounter, and how did you resolve them?

* directional issues, by commnuicating

*

What advice would you give to future students who will be working on a collaborative assignment in a statistics course?

* keep in touch with your team",Learning experience was good! the examples helped a lot
5,5,"I am able to use statistical knowledge in  my life, and I will also take more STA courses in the future",5,5,I learned how to create a project  using R. I am able use R to understand concepts such as confidence interval  in a better way.,5,Weekly assignment help me keep up the course concepts.  I also understand the course concepts by visualizing the plot.T,5,The tutorial is a good chance for me to meet the TA if I have questions. It is a good session for me to reflect the weekly knowledge and enhance my understanding.,I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,1. I really got the chance to interpret the result when doing the modular assignment.,Strongly agree,"Yes. The assignment of creating a poster require us to find the important thing and fun fact that can be put into our work. For example, we need to interpret the true mean and confidence interval. ","1. Simulation

2. Coding require some knowledge from computer science.

3. Going through the video and doing  step by step.","1. Concepts such as finding mean and Z-score is useful in other field as well.

2. Weekly assignment is a good experience to understand how to use R make our work easier."
1,3,"It was very math-heavy and advanced for a course that does not have any high school prerequisite courses (or any for that matter). As someone with math skills that are not that strong, and hasn't taken a math course in a while, I found it a bit overwhelming at times.",1,4,"I can interpret R code, but not create it - which is what this course has taught. ",3,"I found that it focused more on the critical analysis and interpretation of the material (which is also very important), as opposed to practicing the math and stats itself. If it was a bit more math-forward, I think it could've been more effective. ",3,"It was super useful and informative, but I felt like there wasn't enough time to go through everything that we went through during class. ",I read the comments.,Agree,"For the most part, it helped. Again, as a student with little to no background in math, it was a bit hard to keep up with sometimes. So, focusing a bit more on the foundational aspects of stats would've been more beneficial. ",Neither agree nor disagree,It didn't improve my ability per se. It was like all the other previous R assignments - except we had to display our interpretations on an infographic. It somewhat helped in terms of breaking down important terms and concepts in prose.,"I enjoyed the collaborative aspect and the fact that it gave us a chance to display our understanding in a different way compared to other course assignments. 
I encountered non-responsive group members. I contacted Prof. Asal to which the issue was quickly resolved by being transferred to another group. 
I would emphasize the importance of communication and being on the same page with your group members. I would remind them that the way you might normally complete a project could be different than your group members, so it's important to compromise and do what's best for the group.",NA
4,4,"In highschool I took data management and had to do a variety of assignments where I had to communicate my statistical findings, I also did a course by google on data analytics so I learned how to convey my findings there too, and I'm also interested in the field of data science for my future so I have built a good understand and therefore a good ability to communicate my statistical findings. I feel like this course didn't really help much since it's only a beginner level course and I feel like I had a really solid foundation to begin with.",2,3,"I took this course on data analytics by google that taught a little bit of R, so I have some foundation there but it was only the very basics. In this course the R code we were given had much more to it and helped me learn more by looking it. However, the course didn't really teach us R itself, like how to code, I did learn a bit of the syntax since I have a computer science background so I could understand the code but I would not be able to write the R code myself.",4,I think I had a pretty solid understanding of the concepts of that week since in the R assignment we would apply the stuff we learned with real world data and a real world situation so we could see how the statistics stuff we learned that week was applicable.,5,"The tutorials were really helpful since we would go over the formulas to actually solve the stuff for our statistical analysis. So not only would we apply what we learned to a irl situation we would also learn how to find which I find to be a much more effective learning material, compared to the R assignment where we were just given the answer. Also having the TA take it and be there to answers was super helpful.","I looked at the mark, then if it's lower than expected I look through the comments.",Strongly agree,We went over so many real life situations that it really made me think how we can actually apply the stuff we learn in this class to our lives to better understand the world around. Some of the stuff was more interesting than useful like that video we watched in tutorials about how some letters/numbers pop up around us and the person in the video did a live demo which was cool. The more sort of useful could be some of the bio specific stuff for the people who are from that field.,Agree,In the infographic I learned how to give out statistics facts out in a short and simple way and use different plots and graphs to help convey my message to a more visual audience. It was definitely a nice and easy to way to learn how to showcase my statistical findings especially without the fancy statistics words that would be expected in a formal paper.,I feel like the infographic work in a group was fun since we got actual data from our class and presented in a way that the general public could undestand. I didn't really take part in too much in the group aspect of the assignment. For future students I would recommend if possible try to make groups with friends or people you know since you can't rely on strangers who you don't know and aren't able to hold them accountable. If they aren't able to make groups with people they know I would recommend reaching out as soon as possible to your group members so you have enough time to coordinate and collaborate.,A lot of this was similar to what I learned in highschool but in highschool we focused more on probability so it was nice to learn more statistics especially since some of the stuff was more precise.
1,3,NA,1,3,NA,2,"I feel like it focused more on the critical analysis aspect of statistics, as well as critical thinking (which was very helpful!); however, I feel like it didn't focus on the ""math"" aspects or formulas used in class all that much. The only time we applied the formulas was in tutorial.",4,We applied all course concepts during tutorials as well as well as general overviews for assignments. ,I read the comments.,Agree,NA,Agree,NA,NA,NA
3,5,NA,2,4,NA,4,NA,5,NA,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,NA,Neither agree nor disagree,NA,NA,NA
2,4,"Can understand how to the can be presented through different graphs

 ",1,3,Constant practice made me comfortable using the software,4,The assignment were ample to practice generating and using the different types of data,NA,NA,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,wide berth of examples to draw similarities to ,Neither agree nor disagree,NA,NA,I learned a lot about stats in a interactive and fun way
2,4,"Before taking this course, I struggled to interpret histograms and boxplots, but now I feel much more confident in drawing conclusions from data after analyzing these visualizations.",1,3,"Before this course, I had no experience with R. However, I learned how to use R and run files after taking the course. I am still in the process of learning to understand the code and write it myself, I am not able to write R code without researching yet.",NA,NA,2,"I think we didn't have enough time to go over everything during the weekly tutorials. There were some weeks when we couldn't even complete the worksheet. Additionally, since we had to complete the paper for participation, it added extra stress to finish the worksheet in order to earn participation points. This limited the time I could spend listening to the questions and asking for clarification. It might help if there were fewer questions on the worksheet, or perhaps a different type of participation method could be used instead of the worksheet. This would allow for more time to focus on understanding the concepts and engaging with the material.",I always made sure to read all the comments and to talk to the TA if anything isn't clear.,Strongly agree,I strongly agree with this because it is super helpful to have visualizations and real life examples. One of the goog d,NA,NA,"I really enjoyed creating visuals and graphs that others could learn from.

However, I did face some challenges in reaching out to my group members since I didn’t know them. It would have been better if we had the option to choose our own team members before being randomly assigned. I think the professor could use a collaborative Google Doc page for everyone to register and form groups before doing the random matching.

The example infographics provided were helpful, and I think more examples could be given to future students, ideally earlier in the course.

One piece of advice I’d give to future students is to organize a meeting with your group as soon as possible. While online meetings are convenient, having at least one in-person meeting can really help the group bond, complete work, and make decisions more quickly.","I’d like to mention something about the practice midterm test. Firstly, we didn’t have the opportunity to go over it during class or the tutorial, which would have been helpful. Additionally, I found the practice midterm to be much easier than the actual midterm. I believe the practice test may have misled students, as it didn’t reflect the level of difficulty or the types of questions on the actual exam."
4,4,"I learned many things in this course over the semester, my ability to communicate statistics has definitely improved through working on various assignments.",4,4,"Over the time, I have learned and got better and better at using the R through all the home work assignments",4,All the assignments are on intereseting topics which easily draws me in and helps me learn about the statistical concepts.,2,cant say becasue i have missed a bunch,"I looked at the mark, then if it's lower than expected I look through the comments.",Agree,"I agree, the examples are often interesting and requires some thinking to complete which really helps me with learning the material and important concepts.",Agree,The infographic assignment definetely improved my ability to communicate statistical inforemation through working with group members.,"Honestly not too much to enjoy but it is a easy assignment, as long as there are good communication between the group members.","Great experience overall, helped me reinforced a lot of prior knowledge and also learned many new interesting concepts."
3,3,"I feel somewhat confident when communicating statistical concepts. I can explain the fundamentals, but I might have trouble with more complex ideas or tailoring my explanations to different audiences. ",3,3,"I feel at ease when using R for basic tasks like importing data, running descriptive statistics, and creating simple plots. Nevertheless, I still think that more advanced functions and coding techniques are kind of challenging, and I would gain more practice to build up my confidence and fluency. ",5," After finishing each weekly assignment, I felt confident about my grasp of the key concepts. The assignments helped reinforce my learning and gave me a solid base for applying statistical methods. ",5,"The tutorials were super helpful in helping me understand the material better. They clarified complex ideas, offered hands-on practice, and gave me the chance to ask questions and get more actively involved with the content. ","I looked at the mark, then if it's lower than expected I look through the comments.",Agree,I agree with the statement. The statistical examples shown throughout the course did a great job of demonstrating how statistics can be applied in real-world situations. ,Agree,I agree with the statement. The infographic assignment helped me understand better how to present statistical information clearly and work with classmates,"I think cooperation is a great way to complete the infographic assignment. Working together allowed us to share ideas and combine our strengths to create a better final product.

The biggest challenge our group faced was finding a time when we could all meet since we had exams and other commitments at different times. To solve this, we decided to hold online meetings, which made it easier to stay connected and keep the project moving forward.

My advice for future students is to start early and keep communication open and constant. Make sure that everyone understands the assignment requirements and agrees on a plan for dividing the work.","This course has enhanced my comprehension of statistics by demonstrating to me how it's applied in real-world scenarios. Through lectures, assignments, and especially the utilization of practical examples, I've learned not only how to calculate statistical measures, but also how to interpret and communicate the results in a meaningful manner. "
5,5,Everything had a bit of learning involved even if it was to comment on code or analyze the situation and make infographics from scratch.,4,4,Still a bit confused about it but the last assignment helped me go through it all properly. ,4,"It would be better if we were asked for examples to show what the code meant, in order to display our knowledge.",5,Easy and fun ,I took a quick look at the comments at the end.,Agree,Was very easy to understand during the tuts.,Strongly disagree,"Not necessary, nothing special about it nor was it something to help us learn something new but rather show our creativity which is irrelevant given the requirements.","Making the infographic was fun even if it did not involve anything aside from imagination. Did not find any challenges as we worked in a group who communicated outside university making the task feel easy to go through. 

Advice would be to not rush it and take your time. It's an easy assignment and its better to get the marks as it's worth quiet a bit. ",Very good.
3,4,"I feel confident when communicating statistical concepts. I can explain the basics, but I might have difficulty with more complex ideas or tailoring my explanations to different audiences. ",4,4,"I feel at ease using R for basic tasks like importing data, running descriptive statistics, and creating simple plots. ",5,"After finishing each weekly assignment, I was confident in my understanding of the key concepts. The assignments helped strengthen my learning and gave me a solid basis for applying statistical methods. ",5,"The tutorials were super helpful in making me understand the material better. They cleared up complex ideas, offered hands-on practice, and gave me the chance to ask questions and get more actively involved with the content. ",NA,NA,NA,NA,NA,NA,NA
